title,date,author,link
Генсек ООН: мутации коронавируса могут привести к большей смертности,22:28,Жанна  Звягина,https://www.pnp.ru/social/gensek-oon-mutacii-covid-19-mogut-privesti-k-bolshey-smertnosti.html
"Слуцкий: Россия готова принять делегатов ПАСЕ, но призывает к тематическому мониторингу",22:05,Жанна  Звягина,https://www.pnp.ru/politics/sluckiy-rossiya-gotova-prinyat-delegatov-pase-no-prizyvaet-k-tematicheskomu-monitoringu.html
Росстат оценил спад промышленного производства по итогам 2020 года,21:46,Жанна  Звягина,https://www.pnp.ru/economics/rosstat-ocenil-spad-promyshlennogo-proizvodstva-po-itogam-2020-goda.html
Толстой: Россия готова работать с участниками заседаний ПАСЕ только на равных,21:22,Жанна  Звягина,https://www.pnp.ru/politics/tolstoy-rossiya-gotova-rabotat-s-uchastnikami-zasedaniy-pase-tolko-na-ravnykh.html
Россия сняла ограничения на въезд для граждан четырех стран,21:07,Елена Ботороева,https://www.pnp.ru/social/rossiya-snyala-ogranicheniya-na-vezd-dlya-grazhdan-chetyrekh-stran.html
Услугу по признанию дома аварийным предложили перевести в электронный вид,21:04,Жанна  Звягина,https://www.pnp.ru/economics/uslugu-po-priznaniyu-doma-avariynym-predlozhili-perevesti-v-elektronnyy-vid.html
"В программе показа отечественного кино в школе может быть до 200 фильмов, считает Шахназаров",20:53,Елена Ботороева,https://www.pnp.ru/culture/v-programme-pokaza-otechestvennogo-kino-v-shkole-mozhet-byt-do-200-filmov-schitaet-shakhnazarov.html
"В Италии выявили на 3 тысячи новых случаев коронавируса меньше, чем днем ранее",20:41,Александр  Тараканов,https://www.pnp.ru/in-world/v-italii-vyyavili-novykh-sluchaev-koronavirusa-na-3-tysyachi-menshe-chem-dnem-ranee.html
Программу развития театра на Дальнем Востоке продлят на 2021-2023 годы,20:30,Елена Ботороева,https://www.pnp.ru/social/vladimir-putin-poruchil-prodlit-programmu-razvitiya-teatra-na-dalnem-vostoke.html
В России утвердят нормативы охвата детей программами в сфере искусства,20:23,Иван Рощепий,https://www.pnp.ru/social/prezident-poruchil-okhvatit-programmami-v-sfere-iskusstva-ne-menee-14-detey.html
